method,scenario,seed,n_evaluated,freq_gt,freq_pred,signed_frequency_bias,precision,recall,f1,csi,rmse,mae,rmse_wet,mae_wet,mae_p95,rmse_p95,tp,fp,fn,tn,source_prediction_file
WGANGP_PrecipFix,20pct,123,833,0.3673,0.2125,-0.1549,0.5424,0.3137,0.3975,0.2481,4.0569,1.5163,6.6691,3.9935,22.9,23.24,96,81,210,446,results/canonical/predictions/WGANGP_PrecipFix.csv
WGANGP_PrecipFix,20pct,42,833,0.3673,0.2905,-0.0768,0.4421,0.3497,0.3905,0.2426,4.0816,1.5526,6.7167,3.9968,23.0,23.32,107,135,199,392,results/canonical/predictions/WGANGP_PrecipFix.csv
WGANGP_PrecipFix,20pct,456,833,0.3673,0.2893,-0.078,0.444,0.3497,0.3912,0.2432,4.0934,1.5436,6.7433,4.0101,23.11,23.44,107,134,199,393,results/canonical/predictions/WGANGP_PrecipFix.csv
WGANGP_PrecipFix,block30d,123,840,0.3262,0.1976,-0.1286,0.4458,0.2701,0.3364,0.2022,4.8471,1.663,8.4775,4.9545,27.97,28.82,74,92,200,474,results/canonical/predictions/WGANGP_PrecipFix.csv
WGANGP_PrecipFix,block30d,42,840,0.3262,0.2012,-0.125,0.3846,0.2372,0.2935,0.172,4.8729,1.6761,8.5247,4.9699,28.03,28.94,65,104,209,462,results/canonical/predictions/WGANGP_PrecipFix.csv
WGANGP_PrecipFix,block30d,456,840,0.3262,0.281,-0.0452,0.3263,0.281,0.302,0.1778,4.8776,1.6972,8.5311,4.9661,28.1,28.99,77,159,197,407,results/canonical/predictions/WGANGP_PrecipFix.csv
WGANGP_PrecipFix,block7d,123,840,0.3262,0.194,-0.1321,0.4969,0.2956,0.3707,0.2275,4.2501,1.4778,7.4364,4.4178,26.1,27.04,81,82,193,484,results/canonical/predictions/WGANGP_PrecipFix.csv
WGANGP_PrecipFix,block7d,42,840,0.3262,0.2512,-0.075,0.3697,0.2847,0.3216,0.1916,4.2652,1.5117,7.4565,4.4198,26.13,27.1,78,133,196,433,results/canonical/predictions/WGANGP_PrecipFix.csv
WGANGP_PrecipFix,block7d,456,840,0.3262,0.3,-0.0262,0.381,0.3504,0.365,0.2233,4.2732,1.5235,7.4708,4.4236,26.22,27.18,96,156,178,410,results/canonical/predictions/WGANGP_PrecipFix.csv
WGANGP_raw,10pct,123,416,0.3389,0.9976,0.6587,0.3398,1.0,0.5072,0.3398,4.1729,1.8446,7.0369,4.0764,24.33,25.28,141,274,0,1,results/canonical/predictions/WGANGP_raw.csv
WGANGP_raw,10pct,42,416,0.3389,1.0,0.6611,0.3389,1.0,0.5063,0.3389,4.1859,2.2039,6.8955,4.0511,24.0,24.85,141,275,0,0,results/canonical/predictions/WGANGP_raw.csv
WGANGP_raw,10pct,456,416,0.3389,1.0,0.6611,0.3389,1.0,0.5063,0.3389,4.1887,2.2445,6.8962,4.0099,24.12,25.05,141,275,0,0,results/canonical/predictions/WGANGP_raw.csv
WGANGP_raw,20pct,123,833,0.3673,0.9916,0.6242,0.3656,0.9869,0.5336,0.3639,3.8706,1.7272,6.2778,3.6476,22.03,22.4,302,524,4,3,results/canonical/predictions/WGANGP_raw.csv
WGANGP_raw,20pct,42,833,0.3673,1.0,0.6327,0.3673,1.0,0.5373,0.3673,3.8841,2.1396,6.1095,3.6165,21.63,22.04,306,527,0,0,results/canonical/predictions/WGANGP_raw.csv
WGANGP_raw,20pct,456,833,0.3673,1.0,0.6327,0.3673,1.0,0.5373,0.3673,3.8384,2.1653,6.0285,3.5647,21.63,22.02,306,527,0,0,results/canonical/predictions/WGANGP_raw.csv
WGANGP_raw,block30d,123,840,0.3262,0.9417,0.6155,0.3413,0.9854,0.507,0.3396,4.6735,1.8339,8.1098,4.5579,27.14,28.0,270,521,4,45,results/canonical/predictions/WGANGP_raw.csv
WGANGP_raw,block30d,42,840,0.3262,1.0,0.6738,0.3262,1.0,0.4919,0.3262,4.6635,2.299,7.9111,4.4593,26.89,27.87,274,566,0,0,results/canonical/predictions/WGANGP_raw.csv
WGANGP_raw,block30d,456,840,0.3262,1.0,0.6738,0.3262,1.0,0.4919,0.3262,4.6331,2.4061,7.8032,4.3856,26.65,27.62,274,566,0,0,results/canonical/predictions/WGANGP_raw.csv
WGANGP_raw,block7d,123,840,0.3262,0.9917,0.6655,0.3265,0.9927,0.4914,0.3257,4.0764,1.687,7.0662,4.0357,25.35,26.32,272,561,2,5,results/canonical/predictions/WGANGP_raw.csv
WGANGP_raw,block7d,42,840,0.3262,1.0,0.6738,0.3262,1.0,0.4919,0.3262,4.0591,2.125,6.8167,3.9615,24.85,25.97,274,566,0,0,results/canonical/predictions/WGANGP_raw.csv
WGANGP_raw,block7d,456,840,0.3262,1.0,0.6738,0.3262,1.0,0.4919,0.3262,4.0457,2.2075,6.751,3.9289,24.8,25.86,274,566,0,0,results/canonical/predictions/WGANGP_raw.csv
