method,scenario,seed,station_id,cdd_obs,cdd_pred,cdd_abs_error,mean_dry_obs,mean_dry_pred,mean_dry_abs_error,p95_dry_obs,p95_dry_pred,p95_dry_abs_error,n_dry_spells_obs,n_dry_spells_pred
AmountRF_DLPIF,block30d,42,17748,44.0,44.0,0.0,5.906779661016949,5.590163934426229,0.3166157265907197,18.299999999999983,19.899999999999977,1.5999999999999943,118,122
AmountRF_DLPIF,block30d,42,17750,48.0,54.0,6.0,5.582677165354331,5.642857142857143,0.060179977502812676,18.0,19.5,1.5,127,126
AmountRF_DLPIF,10pct,123,17155,45.0,45.0,0.0,5.758064516129032,5.685483870967742,0.07258064516129004,18.0,18.0,0.0,124,124
AmountRF_DLPIF,10pct,123,17704,44.0,44.0,0.0,5.392307692307693,5.2481203007518795,0.14418739155581317,18.0,18.0,0.0,130,133
AmountRF_DLPIF,10pct,123,17748,44.0,44.0,0.0,5.906779661016949,6.043859649122807,0.13707998810585842,18.299999999999983,21.399999999999977,3.0999999999999943,118,114
AmountRF_DLPIF,10pct,123,17750,48.0,45.0,3.0,5.582677165354331,5.574803149606299,0.007874015748031482,18.0,17.69999999999999,0.30000000000001137,127,127
AmountRF_DLPIF,20pct,123,17155,45.0,45.0,0.0,5.758064516129032,5.733870967741935,0.024193548387096975,18.0,19.0,1.0,124,124
AmountRF_DLPIF,20pct,123,17704,44.0,44.0,0.0,5.392307692307693,5.3816793893129775,0.010628302994715177,18.0,18.0,0.0,130,131
AmountRF_DLPIF,20pct,123,17748,44.0,45.0,1.0,5.906779661016949,5.825,0.08177966101694878,18.299999999999983,24.099999999999994,5.800000000000011,118,120
AmountRF_DLPIF,20pct,123,17750,48.0,48.0,0.0,5.582677165354331,5.733870967741935,0.1511938023876045,18.0,24.849999999999994,6.849999999999994,127,124
AmountRF_DLPIF,block7d,123,17155,45.0,48.0,3.0,5.758064516129032,5.780487804878049,0.022423288749016557,18.0,18.0,0.0,124,123
AmountRF_DLPIF,block7d,123,17704,44.0,44.0,0.0,5.392307692307693,5.433070866141732,0.04076317383403971,18.0,18.0,0.0,130,127
AmountRF_DLPIF,block7d,123,17748,44.0,44.0,0.0,5.906779661016949,5.444444444444445,0.4623352165725043,18.299999999999983,17.5,0.799999999999983,118,126
AmountRF_DLPIF,block7d,123,17750,48.0,64.0,16.0,5.582677165354331,6.042016806722689,0.45933964136835836,18.0,20.49999999999997,2.4999999999999716,127,119
AmountRF_DLPIF,block30d,123,17155,45.0,45.0,0.0,5.758064516129032,5.793388429752066,0.03532391362303411,18.0,18.0,0.0,124,121
AmountRF_DLPIF,block30d,123,17704,44.0,44.0,0.0,5.392307692307693,5.704918032786885,0.31261034047919267,18.0,18.0,0.0,130,122
AmountRF_DLPIF,block30d,123,17748,44.0,44.0,0.0,5.906779661016949,5.549180327868853,0.3575993331480962,18.299999999999983,17.899999999999977,0.4000000000000057,118,122
AmountRF_DLPIF,block30d,123,17750,48.0,48.0,0.0,5.582677165354331,5.515625,0.06705216535433056,18.0,19.299999999999983,1.299999999999983,127,128
AmountRF_DLPIF,10pct,456,17155,45.0,45.0,0.0,5.758064516129032,5.717741935483871,0.04032258064516103,18.0,18.0,0.0,124,124
AmountRF_DLPIF,10pct,456,17704,44.0,44.0,0.0,5.392307692307693,5.2481203007518795,0.14418739155581317,18.0,18.0,0.0,130,133
AmountRF_DLPIF,10pct,456,17748,44.0,44.0,0.0,5.906779661016949,5.991304347826087,0.0845246868091376,18.299999999999983,18.599999999999994,0.30000000000001137,118,115
AmountRF_DLPIF,10pct,456,17750,48.0,45.0,3.0,5.582677165354331,5.626984126984127,0.04430696162979686,18.0,18.0,0.0,127,126
AmountRF_DLPIF,20pct,456,17155,45.0,45.0,0.0,5.758064516129032,5.933884297520661,0.17581978139162935,18.0,19.0,1.0,124,121
AmountRF_DLPIF,20pct,456,17704,44.0,44.0,0.0,5.392307692307693,5.396946564885496,0.00463887257780371,18.0,18.0,0.0,130,131
AmountRF_DLPIF,20pct,456,17748,44.0,45.0,1.0,5.906779661016949,5.915966386554622,0.00918672553767319,18.299999999999983,24.19999999999999,5.900000000000006,118,119
AmountRF_DLPIF,20pct,456,17750,48.0,48.0,0.0,5.582677165354331,5.829268292682927,0.24659112732859612,18.0,24.89999999999999,6.8999999999999915,127,123
AmountRF_DLPIF,block7d,456,17155,45.0,48.0,3.0,5.758064516129032,5.829268292682927,0.07120377655389465,18.0,18.0,0.0,124,123
AmountRF_DLPIF,block7d,456,17704,44.0,44.0,0.0,5.392307692307693,5.5,0.10769230769230731,18.0,18.0,0.0,130,126
AmountRF_DLPIF,block7d,456,17748,44.0,44.0,0.0,5.906779661016949,5.658536585365853,0.2482430756510956,18.299999999999983,17.799999999999983,0.5,118,123
AmountRF_DLPIF,block7d,456,17750,48.0,64.0,16.0,5.582677165354331,6.110169491525424,0.5274923261710933,18.0,20.749999999999957,2.7499999999999574,127,118
