audit_category,check_name,method,scenario,seed,status,observed,expected,tolerance,source_file,message
completeness,no_duplicate_rows,SAITS,block7d,456,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SAITS,block7d,456,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SAITS,block7d,456,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SAITS,block7d,456,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,SAITS,block30d,42,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SAITS,block30d,42,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SAITS,block30d,42,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SAITS,block30d,42,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,SAITS,block30d,123,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SAITS,block30d,123,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SAITS,block30d,123,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SAITS,block30d,123,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,SAITS,block30d,456,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SAITS,block30d,456,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SAITS,block30d,456,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SAITS,block30d,456,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,SAITS,netblock30d,42,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SAITS,netblock30d,42,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SAITS,netblock30d,42,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SAITS,netblock30d,42,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,SAITS,netblock30d,123,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SAITS,netblock30d,123,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SAITS,netblock30d,123,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SAITS,netblock30d,123,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,SAITS,netblock30d,456,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,SAITS,netblock30d,456,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,SAITS,netblock30d,456,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,SAITS,netblock30d,456,PASS,True,True,,,every row_index is a true art_mask position
completeness,expected_groups_exist,WGANGP_raw,,,PASS,12,12,,,all groups present
