method,scenario,seed,station_id,cdd_obs,cdd_pred,cdd_abs_error,mean_dry_obs,mean_dry_pred,mean_dry_abs_error,p95_dry_obs,p95_dry_pred,p95_dry_abs_error
KNN,block30d,deterministic,17155,45.0,45.0,0.0,5.758064516129032,5.223076923076923,0.5349875930521089,18.0,18.0,0.0
KNN,block30d,deterministic,17704,44.0,44.0,0.0,5.392307692307693,5.317460317460317,0.07484737484737547,18.0,17.75,0.25
KNN,block30d,deterministic,17748,44.0,40.0,4.0,5.906779661016949,4.776119402985074,1.1306602580318748,18.299999999999983,16.69999999999999,1.5999999999999943
KNN,block30d,deterministic,17750,48.0,48.0,0.0,5.582677165354331,5.141791044776119,0.4408861205782113,18.0,18.0,0.0
MICE,block30d,deterministic,17155,45.0,45.0,0.0,5.758064516129032,5.132231404958677,0.6258331111703548,18.0,18.0,0.0
MICE,block30d,deterministic,17704,44.0,44.0,0.0,5.392307692307693,5.273504273504273,0.11880341880341927,18.0,18.0,0.0
MICE,block30d,deterministic,17748,44.0,40.0,4.0,5.906779661016949,5.008403361344538,0.8983762996724112,18.299999999999983,18.19999999999999,0.09999999999999432
MICE,block30d,deterministic,17750,48.0,48.0,0.0,5.582677165354331,4.94488188976378,0.6377952755905509,18.0,17.69999999999999,0.30000000000001137
SingleStageRF,block30d,42,17155,45.0,45.0,0.0,5.758064516129032,5.087301587301587,0.670762928827445,18.0,18.0,0.0
SingleStageRF,block30d,42,17704,44.0,44.0,0.0,5.392307692307693,5.3277310924369745,0.06457659987071818,18.0,18.0,0.0
SingleStageRF,block30d,42,17748,44.0,40.0,4.0,5.906779661016949,5.024193548387097,0.882586112629852,18.299999999999983,17.69999999999999,0.5999999999999943
SingleStageRF,block30d,42,17750,48.0,48.0,0.0,5.582677165354331,5.0,0.5826771653543306,18.0,18.0,0.0
DirectTwoStageRF,block30d,42,17155,45.0,45.0,0.0,5.758064516129032,5.883333333333334,0.12526881720430172,18.0,18.099999999999994,0.09999999999999432
DirectTwoStageRF,block30d,42,17704,44.0,44.0,0.0,5.392307692307693,5.745901639344262,0.3535939470365692,18.0,18.0,0.0
DirectTwoStageRF,block30d,42,17748,44.0,44.0,0.0,5.906779661016949,5.590163934426229,0.3166157265907197,18.299999999999983,19.899999999999977,1.5999999999999943
DirectTwoStageRF,block30d,42,17750,48.0,54.0,6.0,5.582677165354331,5.642857142857143,0.060179977502812676,18.0,19.5,1.5
SAITS,block30d,42,17155,45.0,45.0,0.0,5.758064516129032,5.887931034482759,0.12986651835372687,18.0,21.25,3.25
SAITS,block30d,42,17704,44.0,44.0,0.0,5.392307692307693,5.90990990990991,0.5176022176022173,18.0,20.5,2.5
SAITS,block30d,42,17748,44.0,40.0,4.0,5.906779661016949,5.342105263157895,0.5646743978590543,18.299999999999983,18.69999999999999,0.4000000000000057
SAITS,block30d,42,17750,48.0,48.0,0.0,5.582677165354331,5.3277310924369745,0.25494607291735605,18.0,18.0,0.0
SingleStageRF,block30d,123,17155,45.0,45.0,0.0,5.758064516129032,5.229508196721311,0.5285563194077207,18.0,18.0,0.0
SingleStageRF,block30d,123,17704,44.0,44.0,0.0,5.392307692307693,5.338983050847458,0.05332464146023508,18.0,18.0,0.0
SingleStageRF,block30d,123,17748,44.0,40.0,4.0,5.906779661016949,5.158333333333333,0.7484463276836157,18.299999999999983,18.099999999999994,0.19999999999998863
