method,scenario,thresh_mm,n_masked,freq_gt,freq_pred,bias,precision,recall,f1,dry_accuracy,csi,tp,fp,fn,tn
WGAN-GP_modeB_seed42+AmountRF,block30d,0.1,2020,0.3104,0.3144,0.004,0.9732,0.9856,0.9794,0.9878,0.9596,618,17,9,1376
WGAN-GP_modeB_seed42_amountrf+Precip2Stage,block30d,0.1,2020,0.3104,0.3158,0.0054,0.9467,0.9633,0.9549,0.9756,0.9138,604,34,23,1359
WGAN-GP_modeB_seed42+Precip2Stage,block30d,0.1,2020,0.3104,0.3163,0.0059,0.9452,0.9633,0.9542,0.9749,0.9124,604,35,23,1358
WGAN-GP_modeB_seed42+PrecipFinal,block30d,0.1,2020,0.3104,0.3144,0.004,0.9732,0.9856,0.9794,0.9878,0.9596,618,17,9,1376
WGAN-GP_modeB_seed42_precipfinal+Precip2Stage,block30d,0.1,2020,0.3104,0.3158,0.0054,0.9467,0.9633,0.9549,0.9756,0.9138,604,34,23,1359
WGAN-GP_modeB_seed42+PrecipFix,block30d,0.1,2020,0.3104,0.3262,0.0158,0.3536,0.3716,0.3624,0.6942,0.2213,233,426,394,967
WGAN-GP_modeB_seed456,block30d,0.1,2020,0.3104,1.0,0.6896,0.3104,1.0,0.4737,0.0,0.3104,627,1393,0,0
WGAN-GP_modeB_seed456+Precip2Stage,block30d,0.1,2020,0.3104,0.3153,0.005,0.9466,0.9617,0.9541,0.9756,0.9123,603,34,24,1359
WGAN-GP_modeB_seed456+PrecipFix,block30d,0.1,2020,0.3104,0.3158,0.0054,0.3103,0.3158,0.313,0.6841,0.1856,198,440,429,953
WGAN-GP_seed123,block30d,0.1,2020,0.3104,1.0,0.6896,0.3104,1.0,0.4737,0.0,0.3104,627,1393,0,0
WGAN-GP_seed123+Precip2Stage,block30d,0.1,2020,0.3104,0.3158,0.0054,0.9451,0.9617,0.9534,0.9749,0.9109,603,35,24,1358
WGAN-GP_seed123+PrecipFix,block30d,0.1,2020,0.3104,0.3069,-0.0035,0.3306,0.327,0.3288,0.7021,0.1967,205,415,422,978
WGAN-GP_seed42,block30d,0.1,2020,0.3104,1.0,0.6896,0.3104,1.0,0.4737,0.0,0.3104,627,1393,0,0
WGAN-GP_seed42+Precip2Stage,block30d,0.1,2020,0.3104,0.3163,0.0059,0.9452,0.9633,0.9542,0.9749,0.9124,604,35,23,1358
